date,text
2022-01-01,This is bad.
2022-01-02,This is bad.
2022-01-03,This is good.
2022-01-04,This is good.
2022-01-05,This is good.
2022-01-06,This is good.
2022-01-07,This is bad.
2022-01-08,This is good.
2022-01-09,This is good.
2022-01-10,This is good.
2022-01-11,This is bad.
2022-01-12,This is good.
2022-01-13,This is good.
2022-01-14,This is good.
2022-01-15,This is good.
2022-01-16,This is good.
2022-01-17,This is bad.
2022-01-18,This is bad.
2022-01-19,This is good.
2022-01-20,This is good.
2022-01-21,This is good.
2022-01-22,This is bad.
2022-01-23,This is good.
2022-01-24,This is bad.
2022-01-25,This is bad.
2022-01-26,This is bad.
2022-01-27,This is bad.
2022-01-28,This is bad.
2022-01-29,This is bad.
2022-01-30,This is good.
2022-01-31,This is bad.
2022-02-01,This is bad.
2022-02-02,This is bad.
2022-02-03,This is good.
2022-02-04,This is bad.
2022-02-05,This is bad.
2022-02-06,This is bad.
2022-02-07,This is good.
2022-02-08,This is good.
2022-02-09,This is good.
2022-02-10,This is good.
2022-02-11,This is bad.
2022-02-12,This is bad.
2022-02-13,This is good.
2022-02-14,This is good.
2022-02-15,This is bad.
2022-02-16,This is bad.
2022-02-17,This is bad.
2022-02-18,This is good.
2022-02-19,This is good.
2022-02-20,This is bad.
2022-02-21,This is good.
2022-02-22,This is bad.
2022-02-23,This is bad.
2022-02-24,This is bad.
2022-02-25,This is good.
2022-02-26,This is good.
2022-02-27,This is bad.
2022-02-28,This is good.
2022-03-01,This is bad.
2022-03-02,This is good.
2022-03-03,This is bad.
2022-03-04,This is good.
2022-03-05,This is bad.
2022-03-06,This is bad.
2022-03-07,This is good.
2022-03-08,This is good.
2022-03-09,This is bad.
2022-03-10,This is good.
2022-03-11,This is good.
2022-03-12,This is bad.
2022-03-13,This is bad.
2022-03-14,This is bad.
2022-03-15,This is bad.
2022-03-16,This is good.
2022-03-17,This is good.
2022-03-18,This is bad.
2022-03-19,This is good.
2022-03-20,This is bad.
2022-03-21,This is good.
2022-03-22,This is good.
2022-03-23,This is good.
2022-03-24,This is good.
2022-03-25,This is bad.
2022-03-26,This is bad.
2022-03-27,This is good.
2022-03-28,This is bad.
2022-03-29,This is bad.
2022-03-30,This is good.
2022-03-31,This is good.
2022-04-01,This is good.
2022-04-02,This is bad.
2022-04-03,This is good.
2022-04-04,This is bad.
2022-04-05,This is good.
2022-04-06,This is good.
2022-04-07,This is good.
2022-04-08,This is good.
2022-04-09,This is good.
2022-04-10,This is good.
2022-04-11,This is good.
2022-04-12,This is good.
2022-04-13,This is good.
2022-04-14,This is bad.
2022-04-15,This is bad.
2022-04-16,This is bad.
2022-04-17,This is bad.
2022-04-18,This is bad.
2022-04-19,This is bad.
2022-04-20,This is bad.
2022-04-21,This is good.
2022-04-22,This is good.
2022-04-23,This is good.
2022-04-24,This is bad.
2022-04-25,This is good.
2022-04-26,This is good.
2022-04-27,This is bad.
2022-04-28,This is bad.
2022-04-29,This is good.
2022-04-30,This is good.
2022-05-01,This is good.
2022-05-02,This is good.
2022-05-03,This is good.
2022-05-04,This is good.
2022-05-05,This is bad.
2022-05-06,This is good.
2022-05-07,This is good.
2022-05-08,This is good.
2022-05-09,This is good.
2022-05-10,This is good.
2022-05-11,This is bad.
2022-05-12,This is good.
2022-05-13,This is good.
2022-05-14,This is good.
2022-05-15,This is good.
2022-05-16,This is bad.
2022-05-17,This is good.
2022-05-18,This is bad.
2022-05-19,This is bad.
2022-05-20,This is good.
2022-05-21,This is bad.
2022-05-22,This is good.
2022-05-23,This is good.
2022-05-24,This is bad.
2022-05-25,This is bad.
2022-05-26,This is good.
2022-05-27,This is bad.
2022-05-28,This is good.
2022-05-29,This is good.
2022-05-30,This is bad.
2022-05-31,This is good.
2022-06-01,This is bad.
2022-06-02,This is bad.
2022-06-03,This is good.
2022-06-04,This is bad.
2022-06-05,This is good.
2022-06-06,This is bad.
2022-06-07,This is good.
2022-06-08,This is good.
2022-06-09,This is bad.
2022-06-10,This is good.
2022-06-11,This is good.
2022-06-12,This is good.
2022-06-13,This is good.
2022-06-14,This is bad.
2022-06-15,This is good.
2022-06-16,This is bad.
2022-06-17,This is bad.
2022-06-18,This is good.
2022-06-19,This is good.
2022-06-20,This is bad.
2022-06-21,This is good.
2022-06-22,This is good.
2022-06-23,This is good.
2022-06-24,This is good.
2022-06-25,This is good.
2022-06-26,This is bad.
2022-06-27,This is bad.
2022-06-28,This is good.
2022-06-29,This is good.
2022-06-30,This is good.
2022-07-01,This is good.
2022-07-02,This is bad.
2022-07-03,This is bad.
2022-07-04,This is bad.
2022-07-05,This is bad.
2022-07-06,This is bad.
2022-07-07,This is bad.
2022-07-08,This is bad.
2022-07-09,This is bad.
2022-07-10,This is good.
2022-07-11,This is bad.
2022-07-12,This is bad.
2022-07-13,This is good.
2022-07-14,This is bad.
2022-07-15,This is bad.
2022-07-16,This is good.
2022-07-17,This is good.
2022-07-18,This is bad.
2022-07-19,This is bad.
